,abbr,address,buildingID,category,distance,facid,gsf,latitude,longitude,name,nsf,searchable,site,zone
10,BRBL,"WALL STREET, 121",270,Served By CPP,99.0,2005,105367,41.311564,-72.927303,BEINECKE LIBRARY,91565,"2005 BEINECKE LIBRARY WALL STREET, 121  BEINECKE RARE BOOK AND MANUSCRIPT LIBRARY BRBL 121 WALL STREET WALL ST,121 BEINECKE RARE BOOK & MANUSCRIPT LIBRARY - BRBL",CEN,ZONE 3
11,BK,"ELM STREET, 205",279,Served By CPP,99.0,2040,146338,41.310305,-72.928105,BERKELEY COLLEGE,113453,"2040 BERKELEY COLLEGE ELM STREET, 205  BERKELEY COLLEGE, GEORGE BK 205 ELM STREET ELM ST, 205 BERKELEY COLLEGE - BK",CEN,ZONE 3
12,BETTS,"PROSPECT STREET, 393",36,Served By CPP,99.0,0435,21889,41.322497,-72.922121,BETTS HOUSE,17489,"0435 BETTS HOUSE PROSPECT STREET, 393 DAVIES HOUSE, JOHN M.; CULINARY INST OF AMER BETTS HOUSE BETTS 393 PROSPECT STREET PROSPECT ST, 393 BETTS HOUSE - DAVIES MANSION",CEN,OUTSOURCE
13,BM,"COLLEGE STREET, 300",356,Served By CPP,99.0,2635,62202,41.30772,-72.928737,"BINGHAM HALL,CHARLES",48607,"2635 BINGHAM HALL,CHARLES COLLEGE STREET, 300  BINGHAM HALL, CHARLES W. BM 300 COLLEGE STREET COLLEGE ST, 300 BINGHAM HALL - BM",CEN,ZONE 3
14,BR,"HIGH STREET, 74",343,Served By CPP,99.0,2505,154221,41.310308,-72.928117,BRANFORD COLLEGE,115837,"2505 BRANFORD COLLEGE HIGH STREET, 74  BRANFORD COLLEGE BR 74 HIGH STREET HIGH ST, 74 BRANFORD COLLEGE - BR",CEN,ZONE 4
15,YCBA,"CHAPEL STREET, 1080",366,Served By CPP,99.0,2705,112612,41.307776,-72.930972,"BRITISH ART, YALE CTR",99460,"2705 BRITISH ART, YALE CTR CHAPEL STREET, 1080  YALE CENTER FOR BRITISH ART YCBA 1080 CHAPEL STREET CHAPEL ST, 1080 BRITISH ART CENTER",CEN,ZONE 4
16,BRWY77,"BROADWAY, 77",294,Served By CPP,99.0,2140,48281,41.311776,-72.931241,"BROADWAY, 77",0,"2140 BROADWAY, 77 BROADWAY, 77 YALE CO-OP BROADWAY, 77 BRWY77 77 BROADWAY BROADWAY, 77 77 BROAD",CEN,LEASED
17,CC,"ELM STREET, 189",278,Served By CPP,99.0,2035,131329,41.309936,-72.927225,"CALHOUN COLLEGE,JOHN",100019,"2035 CALHOUN COLLEGE,JOHN ELM STREET, 189  CALHOUN COLLEGE, JOHN C. CC 189 ELM STREET ELM ST, 189 CALHOUN COLLEGE - CC",CEN,ZONE 3
18,CSB,"EDWARDS STREET, 350",111,Served By CPP,99.0,1006,8755,41.318929,-72.921959,CHEMICAL SAFETY BLDG,6954,"1006 CHEMICAL SAFETY BLDG EDWARDS STREET, 350  CHEMICAL SAFETY BUILDING CSB 350 EDWARDS STREET EDWARDS ST, 350 CHEMICAL SAFETY BLDG",CEN,ZONE 1
19,CRB,"PROSPECT STREET, 275",4751,Served By CPP,99.0,1093,117985,41.319259,-72.922661,CHEMISTRY RES BLDG,98155,"1093 CHEMISTRY RES BLDG PROSPECT STREET, 275  CHEMISTRY RESEARCH BUILDING, CLASS OF 1954 CRB 275 PROSPECT STREET PROSPECT ST, 275 ",CEN,ZONE 1
20,CHUR246,"CHURCH STREET, 246",248,Served By CPP,99.0,1835,32625,41.310002,-72.923337,"CHURCH ST, 246",28560,"1835 CHURCH ST, 246 CHURCH STREET, 246  CHURCH STREET, 246 CHUR246 246 CHURCH STREET CHURCH ST, 246 ",CEN,ZONE 3
21,CHUR250,"CHURCH STREET, 250",247,Served By CPP,99.0,1830,11578,41.310132,-72.923057,"CHURCH ST, 250",9551,"1830 CHURCH ST, 250 CHURCH STREET, 250 PRESIDENT WOOLSEY HOUSE CHURCH STREET, 250 CHUR250 250 CHURCH STREET CHURCH ST, 250 ",CEN,ZONE 3
22,CHUR258,"CHURCH STREET, 258",246,Served By CPP,99.0,1825,11078,41.31039,-72.922927,"CHURCH ST, 258/GROVE,96",9252,"1825 CHURCH ST, 258/GROVE,96 CHURCH STREET, 258 GROVE ST, 96 2ND ENTRNC/ABBY SALISBURY/ELFORD P. TROWBRIDGE HSE CHURCH STREET, 258 CHUR258 258 CHURCH STREET CHURCH ST, 258 ",CEN,ZONE 3
23,COLL451,"COLLEGE STREET, 451",264,Served By CPP,99.0,1955,18378,41.310136,-72.926232,"COLLEGE ST, 451",15125,"1955 COLLEGE ST, 451 COLLEGE STREET, 451 FRANKLIN HALL/THETA XI ALUMNI HALL COLLEGE STREET, 451 COLL451 451 COLLEGE STREET COLLEGE ST, 451 ",CEN,ZONE 3
24,COLL493,"COLLEGE STREET, 493",244,Served By CPP,99.0,1810,20220,41.310847,-72.925666,"COLLEGE ST, 493",14603,"1810 COLLEGE ST, 493 COLLEGE STREET, 493  COLLEGE STREET, 493 COLL493 493 COLLEGE STREET COLLEGE ST, 493 ",CEN,ZONE 3
25,C,"CHAPEL STREET, 1017",357,Served By CPP,99.0,2640,18543,41.308085,-72.928888,CONNECTICUT HALL,13795,"2640 CONNECTICUT HALL CHAPEL STREET, 1017 SOUTH MIDDLE COLLEGE CONNECTICUT HALL C 1017 CHAPEL STREET CHAPEL ST, 1017 CONNECTICUT HALL",CEN,ZONE 3
26,DC,"YORK STREET, 248",324,Served By CPP,99.0,2420,157488,41.310418,-72.931252,DAVENPORT COLLEGE,123243,"2420 DAVENPORT COLLEGE YORK STREET, 248  DAVENPORT COLLEGE, JOHN DC 248 YORK STREET YORK ST, 248 DAVENPORT COLLEGE - DC",CEN,ZONE 4
27,DOW,"TEMPLE STREET, 370",226,Served By CPP,99.0,1620,21355,41.311315,-72.923886,DOW HALL,16042,"1620 DOW HALL TEMPLE STREET, 370 TEMPLE ST, 370; VERNON HALL DOW HALL, CHRISTINA AND ROBERT DOW 370 TEMPLE STREET TEMPLE ST, 370 ",CEN,ZONE 2
28,DL,"HILLHOUSE AVENUE, 10",214,Served By CPP,99.0,1510,78132,41.312299,-72.924548,DUNHAM LAB,66471,"1510 DUNHAM LAB HILLHOUSE AVENUE, 10  DUNHAM LABORATORY, AUSTIN C. DL 10 HILLHOUSE AVENUE HILLHOUSE AVE, 10 DUNHAM LAB",CEN,ZONE 1
29,D,"ELM STREET, 198",350,Served By CPP,99.0,2605,43805,41.309622,-72.928056,"DURFEE HALL,BRADFORD",33654,"2605 DURFEE HALL,BRADFORD ELM STREET, 198  DURFEE HALL, BRADFORD M.C. D 198 ELM STREET ELM ST, 198 BRADFORD DURFEE HALL",CEN,ZONE 3
30,DW,"HIGH STREET, 67",362,Served By CPP,99.0,2665,18074,41.308927,-72.929303,DWIGHT HALL & CHAPEL,13907,"2665 DWIGHT HALL & CHAPEL HIGH STREET, 67 YALE COLLEGE LIBRARY DWIGHT HALL AND CHAPEL DW 67 HIGH STREET HIGH ST, 67 DWIGHT HALL &  CHAPEL - DW",CEN,ZONE 3
31,EVANS,"WHITNEY AVENUE, 165",4968,Served By CPP,99.0,1152,342545,41.315074,-72.920063,EDWARD P EVANS HALL,293371,"1152 EDWARD P EVANS HALL WHITNEY AVENUE, 165  EDWARD P. EVANS HALL EVANS 165 WHITNEY AVENUE WHITNEY AVE, 165 ",CEN,
32,EAL,"WHITNEY AVENUE, 270",118,Served By CPP,99.0,1023,18824,41.319079,-72.921166,ELECTRON ACCEL. LAB,15759,"1023 ELECTRON ACCEL. LAB WHITNEY AVENUE, 270  ELECTRON ACCELERATOR LABORATORIES EAL 270 WHITNEY AVENUE WHITNEY AVE, 270 ELECTRON ACCELERATOR LAB - ELECACCLAB",CEN,ZONE 1
33,COLL459,"COLLEGE STREET, 459",266,Served By CPP,99.0,1960,0,41.310329,-72.926123,ELIZABETHAN CLUB,0,"1960 ELIZABETHAN CLUB COLLEGE STREET, 459 LEVERETT GRISWOLD HOUSE ELIZABETHAN CLUB COLL459 459 COLLEGE STREET COLLEGE ST, 459 ELIZABETHAN CLUB",CEN,ZONE 3
34,ELM143,"ELM STREET, 143",259,Served By CPP,99.0,1935,11636,41.309067,-72.925455,"ELM ST, 143",9583,"1935 ELM ST, 143 ELM STREET, 143 RALPH INGERSOLL HOUSE ELM STREET, 143 ELM143 143 ELM STREET ELM ST, 143 ",CEN,ZONE 3
35,ELM149,"ELM STREET, 149",260,Served By CPP,99.0,1940,15435,41.309182,-72.925639,"ELM ST, 149",10792,"1940 ELM ST, 149 ELM STREET, 149 JOHN PIERPONT HOUSE ELM STREET, 149 ELM149 149 ELM STREET ELM ST, 149 ",CEN,ZONE 3
36,ELM294,"ELM STREET, 294-296",318,Served By CPP,99.0,2405,8539,41.31066,-72.930282,"ELM ST, 294-296",7415,"2405 ELM ST, 294-296 ELM STREET, 294-296 ELM ST, 294-296 ELM STREET,  294-296 ELM294 294-296 ELM STREET ELM ST, 294 ",CEN,ZONE 4
37,ELM316,"ELM STREET, 316-320",315,Served By CPP,99.0,2400,15170,41.31114,-72.931728,"ELM ST, 316-320",0,"2400 ELM ST, 316-320 ELM STREET, 316-320  ELM STREET, 316-320 ELM316 316-320 ELM STREET ELM ST, 316 316 ELM",CEN,LEASED
38,ESC,"SACHEM STREET, 21",125,Served By CPP,99.0,1049,99341,41.316078,-72.921769,ENVIRONMTL SCIENCE CTR,87240,"1049 ENVIRONMTL SCIENCE CTR SACHEM STREET, 21  ENVIRONMENTAL SCIENCE CENTER, CLASS OF 54 ESC 21 SACHEM STREET SACHEM ST, 21 ENVIRONMENTAL SCIENCE CENTER",CEN,ZONE 1
39,EVN,"HILLHOUSE AVENUE, 56",164,Served By CPP,99.0,1210,12659,41.315689,-72.923332,"EVANS HALL, THOMAS M.",10154,"1210 EVANS HALL, THOMAS M. HILLHOUSE AVENUE, 56 ELIZABETH APTHORP HOUSE EVANS HALL, THOMAS MELLON EVN 56 HILLHOUSE AVENUE HILLHOUSE AVE, 56 EVANS HALL",CEN,ZONE 2
40,ES,"YORK STREET, 302",295,Served By CPP,99.0,2145,144250,41.312485,-72.930846,EZRA STILES COLLEGE,117057,"2145 EZRA STILES COLLEGE YORK STREET, 302  STILES COLLEGE, EZRA ES 302 YORK STREET YORK ST, 302 EZRA STILES COLLEGE - ES",CEN,ZONE 4
41,F,"COLLEGE STREET, 380",352,Served By CPP,99.0,2615,30353,41.309048,-72.927711,"FARNAM HALL, HENRY",22986,"2615 FARNAM HALL, HENRY COLLEGE STREET, 380  FARNAM HALL, HENRY F 380 COLLEGE STREET COLLEGE ST, 380 HENRY FARNAM HALL",CEN,ZONE 3
42,FND,"PROSPECT STREET, 135",162,Served By CPP,99.0,1200,13909,41.31569,-72.924257,FOUNDERS HALL,11178,"1200 FOUNDERS HALL PROSPECT STREET, 135 JOHN P. NORTON CARR HSE; YERKES LABS; PROSP. HILL DAY SCH; YALE OBSERV. FOUNDERS HALL FND 135 PROSPECT STREET PROSPECT ST, 135 ",CEN,ZONE 2
43,GPSCY,"YORK STREET, 204",333,Served By CPP,99.0,2455,11274,41.309298,-72.931908,GRAD-PRO STUDENT CTR,9200,"2455 GRAD-PRO STUDENT CTR YORK STREET, 204 BETA THETA PI YORK STREET, 204 GPSCY 204 YORK STREET YORK ST, 204 GRAD-PRO STUDENT CTR - GYPSY",CEN,ZONE 4
44,GRN,"CHAPEL STREET, 1156",377,Served By CPP,99.0,2770,76390,41.308741,-72.932343,GREEN HALL,66119,"2770 GREEN HALL CHAPEL STREET, 1156 CHAPEL ST, 1156 GREEN HALL, HOLCOMBE T., JR. GRN 1156 CHAPEL STREET CHAPEL ST, 1156 HOLCOMBE GREEN HALL",CEN,ZONE 4
45,GBCC,"PROSPECT STREET, 391",4988,Served By CPP,99.0,0434,13642,41.322215,-72.921924,GREENBERG CONF CENTER,11691,"0434 GREENBERG CONF CENTER PROSPECT STREET, 391  GREENBERG CONFERENCE CENTER, MAURICE R. GBCC 391 PROSPECT STREET PROSPECT ST, 391 ",CEN,OUTSOURCE
46,HGS,"YORK STREET, 320",284,Served By CPP,99.0,2105,195442,41.31224,-72.929413,HALL OF GRAD STUDIES,156962,"2105 HALL OF GRAD STUDIES YORK STREET, 320  HALL OF GRADUATE STUDIES HGS 320 YORK STREET YORK ST, 320 HALL OF GRADUATE STUDIES - HGS",CEN,ZONE 4
47,HHH,"TEMPLE STREET, 420",225,Served By CPP,99.0,1615,64801,41.312524,-72.923042,HELEN HADLEY HALL,57322,"1615 HELEN HADLEY HALL TEMPLE STREET, 420  HADLEY HALL, HELEN MORRIS HHH 420 TEMPLE STREET TEMPLE ST, 420 HELEN HADLEY HALL MORRIS - HHH",CEN,ZONE 2
48,HENDRIE,"ELM STREET, 165",261,Served By CPP,99.0,1945,34719,41.309383,-72.926175,HENDRIE HALL,27885,"1945 HENDRIE HALL ELM STREET, 165  HENDRIE HALL HENDRIE 165 ELM STREET ELM ST, 165 HENDRIE HALL",CEN,ZONE 3
49,HLH15,"HILLHOUSE AVENUE, 15",229,Served By CPP,99.0,1635,8502,41.31241,-72.923706,"HILLHOUSE AVE,15",7009,"1635 HILLHOUSE AVE,15 HILLHOUSE AVENUE, 15 YORK HALL, ALPHA DELTA PHI HILLHOUSE AVENUE, 15 HLH15 15 HILLHOUSE AVENUE HILLHOUSE AVE, 15 ",CEN,ZONE 2
50,HLH17,"HILLHOUSE AVENUE, 17",230,Served By CPP,99.0,1640,90568,41.312781,-72.923576,"HILLHOUSE AVE,17",79638,"1640 HILLHOUSE AVE,17 HILLHOUSE AVENUE, 17 UNIVERSITY HEALTH SERVICES CENTER HILLHOUSE AVENUE, 17 HLH17 17 HILLHOUSE AVENUE HILLHOUSE AVE, 17 UNIVERSITY HEALTH SERVICES CENTER",CEN,ZONE 2
51,HLH27,"HILLHOUSE AVENUE, 27",147,Served By CPP,99.0,1120,13023,41.313684,-72.923163,"HILLHOUSE AVE,27",9096,"1120 HILLHOUSE AVE,27 HILLHOUSE AVENUE, 27 REV PROF GEORGE PARK FISHER HOUSE HILLHOUSE AVENUE, 27 HLH27 27 HILLHOUSE AVENUE HILLHOUSE AVE, 27 ",CEN,ZONE 2
52,HLH28,"HILLHOUSE AVENUE, 28",169,Served By CPP,99.0,1235,15312,41.313861,-72.923997,"HILLHOUSE AVE,28",12311,"1235 HILLHOUSE AVE,28 HILLHOUSE AVENUE, 28 CHARLES HENRY FARNAM HOUSE HILLHOUSE AVENUE, 28 HLH28 28 HILLHOUSE AVENUE HILLHOUSE AVE, 28 ",CEN,ZONE 2
53,HLH30,"HILLHOUSE AVENUE, 30",168,Served By CPP,99.0,1230,15988,41.314053,-72.923937,"HILLHOUSE AVE,30",12899,"1230 HILLHOUSE AVE,30 HILLHOUSE AVENUE, 30  HILLHOUSE AVENUE, 30 HLH30 30 HILLHOUSE AVENUE HILLHOUSE AVE, 30 ",CEN,ZONE 2
54,HLH35,"HILLHOUSE AVENUE, 35",149,Served By CPP,99.0,1130,10033,41.314187,-72.922896,"HILLHOUSE AVE,35",8123,"1130 HILLHOUSE AVE,35 HILLHOUSE AVENUE, 35 MARY PRICHARD HOUSE HILLHOUSE AVENUE, 35 HLH35 35 HILLHOUSE AVENUE HILLHOUSE AVE, 35 ",CEN,ZONE 2
55,HLH37,"HILLHOUSE AVENUE, 37",151,Served By CPP,99.0,1135,11239,41.314479,-72.922822,"HILLHOUSE AVE,37",9382,"1135 HILLHOUSE AVE,37 HILLHOUSE AVENUE, 37 JOHN S GRAVES HSE; DANIEL COIT GILMAN HSE HILLHOUSE AVENUE, 37 HLH37 37 HILLHOUSE AVENUE HILLHOUSE AVE, 37 ",CEN,ZONE 2
56,HLH38,"HILLHOUSE AVENUE, 38",167,Served By CPP,99.0,1225,17060,41.314576,-72.923746,"HILLHOUSE AVE,38",13282,"1225 HILLHOUSE AVE,38 HILLHOUSE AVENUE, 38 HENRY FOWLER ENGLISH HSE HILLHOUSE AVENUE, 38 HLH38 38 HILLHOUSE AVENUE HILLHOUSE AVE, 38 ",CEN,ZONE 2
57,HLH43,"HILLHOUSE AVENUE, 43",152,Served By CPP,99.0,1140,20739,41.314727,-72.922714,"HILLHOUSE AVE,43",16019,"1140 HILLHOUSE AVE,43 HILLHOUSE AVENUE, 43  HILLHOUSE AVENUE, 43 HLH43 43 HILLHOUSE AVENUE HILLHOUSE AVE, 43 ",CEN,ZONE 2
58,HLH46,"HILLHOUSE AVENUE, 46",166,Served By CPP,99.0,1220,12023,41.315049,-72.923594,"HILLHOUSE AVE,46",9618,"1220 HILLHOUSE AVE,46 HILLHOUSE AVENUE, 46 AARON N. SKINNER HSE; TROWBRIDGE HSE HILLHOUSE AVENUE, 46 HLH46 46 HILLHOUSE AVENUE HILLHOUSE AVE, 46 ",CEN,ZONE 2
59,HLH51,"HILLHOUSE AVENUE, 51",153,Served By CPP,99.0,1145,9950,41.315107,-72.922615,"HILLHOUSE AVE,51",8180,"1145 HILLHOUSE AVE,51 HILLHOUSE AVENUE, 51 JOHN M. GRAVES HSE; JAMES M. B. DWIGHT HSE HILLHOUSE AVENUE, 51 HLH51 51 HILLHOUSE AVENUE HILLHOUSE AVE, 51 ",CEN,ZONE 2
60,HRCH,"HILLHOUSE AVENUE, 55",139,Served By CPP,99.0,1100,20921,41.31543,-72.922403,HORCHOW HALL,16485,"1100 HORCHOW HALL HILLHOUSE AVENUE, 55 PELATIAH PERIT HOUSE HORCHOW HALL HRCH 55 HILLHOUSE AVENUE HILLHOUSE AVE, 55 HORCHOW HALL",CEN,ZONE 2
61,IR,"SACHEM STREET, 73",92,Served By CPP,99.0,0925,75969,41.316764,-72.925103,INGALLS RINK,67638,"0925 INGALLS RINK SACHEM STREET, 73  INGALLS RINK, DAVID S. IR 73 SACHEM STREET SACHEM ST, 73 INGALLS RINK",CEN,ZONE 2
62,JWG,"WHITNEY AVENUE, 260",121,Served By CPP,99.0,1035,106033,41.317413,-72.921748,J.W. GIBBS LABS,98015,"1035 J.W. GIBBS LABS WHITNEY AVENUE, 260  GIBBS LABORATORY, JOSIAH WILLARD JWG 260 WHITNEY AVENUE WHITNEY AVE, 260 J.W. GIBBS LABORATORY",CEN,ZONE 1
63,JE,"HIGH STREET, 68",344,Served By CPP,99.0,2510,122968,41.309104,-72.930527,JONATHAN EDWARDS COL,90343,"2510 JONATHAN EDWARDS COL HIGH STREET, 68  EDWARDS COLLEGE, JONATHAN JE 68 HIGH STREET HIGH ST, 68 JONATHAN EDWARDS COLLEGE - JE",CEN,ZONE 4
64,K,"HILLHOUSE AVENUE,  2",215,Served By CPP,99.0,1515,23049,41.311865,-72.924646,KIRTLAND HALL,18360,"1515 KIRTLAND HALL HILLHOUSE AVENUE,  2  KIRTLAND HALL, JARED P. K 2 HILLHOUSE AVENUE HILLHOUSE AVE,  2 KIRTLAND HALL",CEN,ZONE 2
65,KBT,"PROSPECT STREET, 219",135,Served By CPP,99.0,1080,207245,41.317218,-72.922686,KLINE BIOLOGY TOWER,179132,"1080 KLINE BIOLOGY TOWER PROSPECT STREET, 219  KLINE BIOLOGY TOWER, C. MAHLON KBT 219 PROSPECT STREET PROSPECT ST, 219 KLINE BIOLOGY TOWER - KBT",CEN,ZONE 1
66,KCL,"PROSPECT STREET, 255",137,Served By CPP,99.0,1090,79863,41.318843,-72.922714,KLINE CHEMISTRY LAB,69195,"1090 KLINE CHEMISTRY LAB PROSPECT STREET, 255  KLINE CHEMISTRY LABORATORY, C. MAHLON KCL 255 PROSPECT STREET PROSPECT ST, 255 KLINE CHEMISTRY LAB -  KCL",CEN,ZONE 1
67,KGL,"WHITNEY AVENUE, 210",122,Served By CPP,99.0,1040,118452,41.316541,-72.92106,KLINE GEOLOGY LAB,105430,"1040 KLINE GEOLOGY LAB WHITNEY AVENUE, 210  KLINE GEOLOGY LABORATORY, C. MAHLON KGL 210 WHITNEY AVENUE WHITNEY AVE, 210 KLINE GEOLOGY LAB - KGL",CEN,ZONE 1
68,KRN,"PROSPECT STREET, 195",4792,Served By CPP,99.0,1067,52635,41.316783,-72.92342,KROON HALL,41896,"1067 KROON HALL PROSPECT STREET, 195  KROON HALL KRN 195 PROSPECT STREET PROSPECT ST, 195 ",CEN,ZONE 1
69,LWR,"ELM STREET, 206",349,Served By CPP,99.0,2600,65410,41.309735,-72.928692,LANMAN-WRIGHT HALL,51099,"2600 LANMAN-WRIGHT HALL ELM STREET, 206  LANMAN-WRIGHT HALL LWR 206 ELM STREET ELM ST, 206 LANMAN-WRIGHT HALL",CEN,ZONE 3
70,L,"COLLEGE STREET, 358",353,Served By CPP,99.0,2620,37139,41.308676,-72.927996,"LAWRANCE HALL,THOMAS",27343,"2620 LAWRANCE HALL,THOMAS COLLEGE STREET, 358  LAWRANCE HALL, THOMAS G. L 358 COLLEGE STREET COLLEGE ST, 358 THOMAS LAWRANCE HALL",CEN,ZONE 3
71,LOM,"HILLHOUSE AVENUE, 12",213,Served By CPP,99.0,1505,21153,41.312687,-72.924334,LEET OLIVER MEM HALL,16275,"1505 LEET OLIVER MEM HALL HILLHOUSE AVENUE, 12  LEET OLIVER MEMORIAL HALL LOM 12 HILLHOUSE AVENUE HILLHOUSE AVE, 12 LEET OLIVER MEMORIAL HALL",CEN,ZONE 2
72,LGH,"COLLEGE STREET, 435",263,Served By CPP,99.0,1950,28471,41.309852,-72.926412,LEIGH HALL,21326,"1950 LEIGH HALL COLLEGE STREET, 435 COLLEGE ST, 435/UG ADMIS/UNIV HEALTH CTR LEIGH HALL, ABBY AND MITCH LGH 435 COLLEGE STREET COLLEGE ST, 435 ABBY AND MITCH LEIGH HALL",CEN,ZONE 3
73,LC,"HIGH STREET, 63",361,Served By CPP,99.0,2660,59028,41.308569,-72.929557,LINSLY-CHITTENDEN,46119,"2660 LINSLY-CHITTENDEN HIGH STREET, 63 LINSLY HALL, CHITTENDEN HALL LINSLY CHITTENDEN HALL LC 63 HIGH STREET HIGH ST, 63 LINSLY CHITTENDEN HALL - LC",CEN,ZONE 3
74,LUCE,"HILLHOUSE AVENUE, 34",174,Served By CPP,99.0,1255,32040,41.314402,-72.924341,"LUCE HALL, HENRY R.",27387,"1255 LUCE HALL, HENRY R. HILLHOUSE AVENUE, 34  LUCE HALL, HENRY R. LUCE 34 HILLHOUSE AVENUE HILLHOUSE AVE, 34 HENRY LUCE HALL",CEN,ZONE 2
75,MEC,"PROSPECT STREET,  55",4750,Served By CPP,99.0,1540,64786,41.313348,-72.924858,MALONE ENGIN CENTER,55627,"1540 MALONE ENGIN CENTER PROSPECT STREET,  55  MALONE ENGINEERING CENTER, DANIEL L. MEC 55 PROSPECT STREET PROSPECT ST,  55 ",CEN,ZONE 1
76,ML,"HILLHOUSE AVENUE,  9",228,Served By CPP,99.0,1630,68573,41.312108,-72.923669,MASON LAB,57363,"1630 MASON LAB HILLHOUSE AVENUE,  9  MASON LABORATORY ML 9 HILLHOUSE AVENUE HILLHOUSE AVE,  9 MASON LAB",CEN,ZONE 1
77,EM,"CHAPEL STREET, 1037",358,Served By CPP,99.0,2645,21747,41.30827,-72.929339,"MCCLELLAN HALL,EDWIN",17849,"2645 MCCLELLAN HALL,EDWIN CHAPEL STREET, 1037  MCCLELLAN HALL, EDWIN EM 1037 CHAPEL STREET CHAPEL ST, 1037 MCCLELLAN HALL",CEN,ZONE 3
78,MC,"YORK STREET, 304",283,Served By CPP,99.0,2100,144045,41.312639,-72.930124,MORSE COLLEGE,116151,"2100 MORSE COLLEGE YORK STREET, 304  MORSE COLLEGE, SAMUEL F. B. MC 304 YORK STREET YORK ST, 304 MORSE COLLEGE - 304 YORK - MC",CEN,ZONE 4
79,OML,"PROSPECT STREET, 165",128,Served By CPP,99.0,1055,108910,41.316402,-72.923796,OSBORN MEMORIAL LAB,81854,"1055 OSBORN MEMORIAL LAB PROSPECT STREET, 165  OSBORN MEMORIAL LABORATORIES OML 165 PROSPECT STREET PROSPECT ST, 165 OSBORN MEMORIAL LAB - OML",CEN,ZONE 1
