id,abbr,address,buildingID,category,facid,gsf,latitude,longitude,name,nsf,searchable,site,zone,count
407,CHAP1201,"CHAPEL STREET, 1201",314,Not Served by Yale Plants,2345,10336,41.30929,-72.934321,"CHAPEL ST, 1201",8523,"2345 CHAPEL ST, 1201 CHAPEL STREET, 1201  CHAPEL STREET, 1201 CHAP1201 1201 CHAPEL STREET CHAPEL ST, 1201 ",CEN,ZONE 4,1
408,CYPG,"YORK STREET, 150",379,Not Served by Yale Plants,2780,177422,41.307945,-72.932587,CHAPEL-YORK GARAGE,171570,"2780 CHAPEL-YORK GARAGE YORK STREET, 150  CHAPEL YORK PARKING GARAGE CYPG 150 YORK STREET YORK ST, 150  ",CEN,ZONE 4,1
409,CSS002,"CHURCH STREET SOUTH,  2",4728,Not Served by Yale Plants,3183,44598,41.302126,-72.930023,"CHURCH ST SOUTH,   2",0,"3183 CHURCH ST SOUTH,   2 CHURCH STREET SOUTH,  2  CHURCH STREET SOUTH, 2 CSS002 2 CHURCH ST SOUTH CHURCH ST S, 2 ",MED,LEASED,1
410,CSS100,"CHURCH STREET SOUTH, 100",2,Not Served by Yale Plants,3065,236541,41.299479,-72.930286,"CHURCH ST SOUTH, 100",221148,"3065 CHURCH ST SOUTH, 100 CHURCH STREET SOUTH, 100  CHURCH STREET SOUTH, 100 CSS100 100 CHURCH ST SOUTH CHURCH ST S, 100 ",MED,LEASED,1
411,CHUR157,"CHURCH STREET, 157",4857,Not Served by Yale Plants,1985,65968,41.30688,-72.924629,"CHURCH ST, 157",59191,"1985 CHURCH ST, 157 CHURCH STREET, 157  CHURCH STREET, 157 CHUR157 157 CHURCH STREET CHURCH ST, 157 ",CEN,LEASED,1
412,COLL135,"COLLEGE STREET, 127-153",4724,Not Served by Yale Plants,2955,80013,41.304523,-72.930358,"COLLEGE ST, 135 (127-153)",0,"2955 COLLEGE ST, 135 (127-153) COLLEGE STREET, 127-153  COLLEGE STREET, 135 (127-153) COLL135 127-153 COLLEGE STREET COLLEGE ST, 135 ",MED,LEASED,1
413,COLL265,"COLLEGE STREET, 265",4955,Not Served by Yale Plants,2902,0,41.307154,-72.928669,"COLLEGE ST, 265",0,"2902 COLLEGE ST, 265 COLLEGE STREET, 265  COLLEGE STREET, 265 (TAFT HOTEL) COLL265 265 COLLEGE STREET COLLEGE ST, 265 ",CEN,LEASED,1
414,CONG270,"CONGRESS AVENUE, 270",4813,Not Served by Yale Plants,3020,4726,41.301963,-72.932257,"CONGRESS AVE, 270",0,"3020 CONGRESS AVE, 270 CONGRESS AVENUE, 270  CONGRESS AVENUE, 270 CONG270 270 CONGRESS AVENUE CONGRESS AVE, 270 ",MED,MEDICAL,1
415,COXE,"DERBY AVENUE, 257",427,Not Served by Yale Plants,3625,61585,41.311021,-72.961963,"COXE CAGE,CHARLES E.",58382,"3625 COXE CAGE,CHARLES E. DERBY AVENUE, 257  COXE MEMORIAL CAGE, CHARLES E. COXE 257 DERBY AVENUE DERBY AVE, 257 COXE CAGE MEMORIAL",ATH,ZONE 5,1
416,CRWN255,"CROWN STREET, 255",4966,Not Served by Yale Plants,2752,0,41.306271,-72.929881,"CROWN ST, 255",0,"2752 CROWN ST, 255 CROWN STREET, 255 KIRK'S PARKING CROWN STREET, 255 CRWN255 255 CROWN STREET CROWN ST, 255 ",CEN,LEASED,1
417,CRWN270,"CROWN STREET, 270",375,Not Served by Yale Plants,2750,18081,41.306341,-72.93079,"CROWN ST, 270",15536,"2750 CROWN ST, 270 CROWN STREET, 270  CROWN STREET, 270 CRWN270 270 CROWN STREET CROWN ST, 270 ",CEN,ZONE 4,1
418,CRWN295,"CROWN STREET, 295-297",369,Not Served by Yale Plants,2720,9421,41.306992,-72.931596,"CROWN ST, 295-297",7246,"2720 CROWN ST, 295-297 CROWN STREET, 295-297  CROWN STREET, 295-297 CRWN295 295-297 CROWN STREET CROWN ST, 295 295 CROWN",CEN,ZONE 4,1
419,CRWN301,"CROWN STREET, 301",370,Not Served by Yale Plants,2725,7938,41.307075,-72.931744,"CROWN ST, 301",6044,"2725 CROWN ST, 301 CROWN STREET, 301  CROWN STREET, 301 CRWN301 301 CROWN STREET CROWN ST, 301 ",CEN,ZONE 4,1
420,CRWN305,"CROWN STREET, 305",371,Not Served by Yale Plants,2730,22845,41.307172,-72.931966,"CROWN ST, 305",19723,"2730 CROWN ST, 305 CROWN STREET, 305  CROWN STREET, 305 CRWN305 305 CROWN STREET CROWN ST, 305 ",CEN,ZONE 4,1
421,CRWN341,"CROWN STREET, 341-347",513,Not Served by Yale Plants,2786,8675,41.307879,-72.933226,"CROWN ST, 341-347",7613,"2786 CROWN ST, 341-347 CROWN STREET, 341-347  CROWN STREET, 341-347 CRWN341 341-347 CROWN STREET CROWN ST, 341 ",CEN,ZONE 4,1
422,CHTC,"DERBY AVENUE, 253",428,Not Served by Yale Plants,3630,77824,41.310391,-72.962158,CULLMAN HEYMAN TENNIS,74075,"3630 CULLMAN HEYMAN TENNIS DERBY AVENUE, 253 CULLMAN COURTS, JOSEPH F. CULLMAN HEYMAN TENNIS CENTER CHTC 253 DERBY AVENUE DERBY AVE, 253 CULLMAN COURTS",ATH,ZONE 5,1
423,DAG41,"DAGGETT STREET, 41",4759,Not Served by Yale Plants,3530,0,41.299557,-72.935991,"DAGGETT ST, 41",0,"3530 DAGGETT ST, 41 DAGGETT STREET, 41  DAGGETT STREET, 41 DAG41 41 DAGGETT STREET DAGGETT ST, 41 ",MED,LEASED,1
424,DAG55,"DAGGETT STREET, 55",4760,Not Served by Yale Plants,3534,0,41.299906,-72.936349,"DAGGETT ST, 55",0,"3534 DAGGETT ST, 55 DAGGETT STREET, 55  DAGGETT STREET, 55 DAG55 55 DAGGETT STREET DAGGETT ST, 55 ",MED,LEASED,1
425,DAV132,"DAVENPORT AVENUE, 132",402,Not Served by Yale Plants,3210,7143,41.302551,-72.937721,"DAVENPORT AVE, 132",0,"3210 DAVENPORT AVE, 132 DAVENPORT AVENUE, 132  DAVENPORT AVENUE, 132 DAV132 132 DAVENPORT AVENUE DAVENPORT AVE, 132 ",MED,MEDICAL,1
426,DEWITTFD,"CENTRAL AVENUE, 70",507,Not Served by Yale Plants,3743,0,41.312528,-72.968611,DEWITT FAMILY FIELD,0,"3743 DEWITT FAMILY FIELD CENTRAL AVENUE, 70  DEWITT JR., WILLIAM O. 63 FAMILY FIELD, SOFTBALL STADIUM DEWITTFD 70 CENTRAL AVENUE CENTRAL AVE, 70 ",ATH,ZONE 5,1
427,DIX1101,"DIXWELL AVENUE,1101",4884,Not Served by Yale Plants,4032,4720,0,0,"DIXWELL AVE, 1101",0,"4032 DIXWELL AVE, 1101 DIXWELL AVENUE,1101  DIXWELL AVENUE, 1101 DIX1101 1101 DIXWELL AVENUE DIXWELL AVE, 1101 ",CT,LEASED,1
428,DIX0040,"DIXWELL AVENUE, 40",5003,Not Served by Yale Plants,1482,0,41.313831,-72.932789,"DIXWELL AVE, 40",0,"1482 DIXWELL AVE, 40 DIXWELL AVENUE, 40  DIXWELL AVENUE, 40 DIX0040 40 DIXWELL AVENUE DIXWELL AVE, 40 ",CEN,ZONE 4,1
429,EDGW28,"EDGEWOOD AVENUE, 28",305,Not Served by Yale Plants,2305,1441,41.310227,-72.933834,"EDGEWOOD AVE, 28",0,"2305 EDGEWOOD AVE, 28 EDGEWOOD AVENUE, 28  EDGEWOOD AVENUE, 28 EDGW28 28 EDGEWOOD AVENUE EDGEWOOD AVE, 28 ",CEN,ZONE 4,1
430,EDGW32,"EDGEWOOD AVENUE, 32-36",4862,Not Served by Yale Plants,2304,64118,41.310234,-72.934021,"EDGEWOOD AVE, 32-36",55604,"2304 EDGEWOOD AVE, 32-36 EDGEWOOD AVENUE, 32-36 SCULPTURE BUILDING - SCULPT EDGEWOOD AVENUE, 32-36 EDGW32 32-36 EDGEWOOD AVENUE EDGEWOOD AVE, 32 ",CEN,ZONE 4,1
431,EDW309,"EDWARDS STREET, 309",27,Not Served by Yale Plants,300,12193,41.319989,-72.920017,"EDWARDS ST, 309",9778,"0300 EDWARDS ST, 309 EDWARDS STREET, 309 EDWARD M. BRADLEY HOUSE EDWARDS STREET, 309 EDW309 309 EDWARDS STREET EDWARDS ST, 309 ",CEN,ZONE 2,1
432,EDW340,"EDWARDS STREET, 340",113,Not Served by Yale Plants,1010,10639,41.319712,-72.921298,"EDWARDS ST, 340",8684,"1010 EDWARDS ST, 340 EDWARDS STREET, 340 HENRY C. WHITE HOUSE EDWARDS STREET, 340 EDW340 340 EDWARDS STREET EDWARDS ST, 340 ",CEN,ZONE 1,1
433,EDW360,"EDWARDS STREET, 360",110,Not Served by Yale Plants,1005,12278,41.319724,-72.922786,"EDWARDS ST, 360",0,"1005 EDWARDS ST, 360 EDWARDS STREET, 360 GEORGE L. SARGENT HOUSE EDWARDS STREET, 360 EDW360 360 EDWARDS STREET EDWARDS ST, 360 ",CEN,LEASED,1
434,EDW380,"EDWARDS STREET, 380",138,Not Served by Yale Plants,1095,10475,41.319814,-72.922393,"EDWARDS ST, 380",8589,"1095 EDWARDS ST, 380 EDWARDS STREET, 380 PROSPECT STREET, 285 EDWARDS STREET, 380 EDW380 380 EDWARDS STREET EDWARDS ST, 380 ",CEN,ZONE 1,1
435,ELDORADO,"CHAPEL STREET, 1143-1147",4,Not Served by Yale Plants,2471,35694,41.308863,-72.932282,EL DORADO,0,"2471 EL DORADO CHAPEL STREET, 1143-1147  EL DORADO ELDORADO 1143-1147 CHAPEL STREET CHAPEL ST, 1143 ",CEN,LEASED,1
436,ERECTOR,"PECK STREET, 315",4918,Not Served by Yale Plants,3912,9885,41.315757,-72.899994,ERECTOR SQUARE,0,"3912 ERECTOR SQUARE PECK STREET, 315  ERECTOR SQUARE ERECTOR 315 PECK STREET PECK ST, 315 ",NH,LEASED,1
437,ESPLAPTA,"PROSPECT STREET, 386",46,Not Served by Yale Plants,510,10437,41.32249,-72.923749,ESPLANADE APTS A1-A9,9134,"0510 ESPLANADE APTS A1-A9 PROSPECT STREET, 386  ESPLANADE APTS A1-A9 ESPLAPTA 386 PROSPECT STREET PROSPECT ST, 386 ",CEN,ZONE 2,1
438,ESPLAPTB,"PROSPECT STREET, 386",4784,Not Served by Yale Plants,511,10437,41.322539,-72.92406,ESPLANADE APTS B1-B8,9170,"0511 ESPLANADE APTS B1-B8 PROSPECT STREET, 386  ESPLANADE APTS B1-B8 ESPLAPTB 386 PROSPECT STREET PROSPECT ST, 386 ",CEN,ZONE 2,1
439,ESPLAPTC,"PROSPECT STREET, 386",4785,Not Served by Yale Plants,512,10437,41.322602,-72.924363,ESPLANADE APTS C1-C8,9178,"0512 ESPLANADE APTS C1-C8 PROSPECT STREET, 386  ESPLANADE APTS C1-C8 ESPLAPTC 386 PROSPECT STREET PROSPECT ST, 386 ",CEN,ZONE 2,1
440,ESPLAPTD,"PROSPECT STREET, 386",4786,Not Served by Yale Plants,513,10437,41.322662,-72.92465,ESPLANADE APTS D1-D8,9173,"0513 ESPLANADE APTS D1-D8 PROSPECT STREET, 386  ESPLANADE APTS D1-D8 ESPLAPTD 386 PROSPECT STREET PROSPECT ST, 386 ",CEN,ZONE 2,1
441,ORG-NB,NOT APPLICABLE,4970,Not Served by Yale Plants,0,0,0,0,FAC ID-NON-BLDG ORGS,0,0000 FAC ID-NON-BLDG ORGS NOT APPLICABLE  FAC ID FOR NON BUILDING ORGS ORG-NB   ,CEN,,1
442,FARNGRDN,"PROSPECT STREET, 335",33,Not Served by Yale Plants,425,0,41.32057,-72.922467,FARNAM GARDENS,0,"0425 FARNAM GARDENS PROSPECT STREET, 335 WILLIAM FARNAM HOUSE DEMO'D 1964; WINDYCOTT FARNAM GARDENS FARNGRDN 335 PROSPECT STREET PROSPECT ST, 335 FARNAM GARDENS - FARNAMG",CEN,ZONE 2,1
443,GALESHS,"RIVERSIDE PLACE, 4",483,Not Served by Yale Plants,4100,5026,0,0,GALES FERRY HOUSE,4401,"4100 GALES FERRY HOUSE RIVERSIDE PLACE, 4  GALES FERRY CARETAKER'S HOUSE GALESHS 4 RIVERSIDE PLACE RIVERSIDE PL, 4 GALES FERRY CARETAKER'S HOUSE",CT,ZONE 5,1
444,GALESVH,"RIVERSIDE PLACE, 4",484,Not Served by Yale Plants,4102,10067,0,0,GALES FERRY VARS HSE,8763,"4102 GALES FERRY VARS HSE RIVERSIDE PLACE, 4  GALES FERRY VARSITY HOUSE GALESVH 4 RIVERSIDE PLACE RIVERSIDE PL, 4 GALES FERRY VARSITY HOUSE",CT,ZONE 5,1
445,GILDER,"ROOSEVELT DRIVE, 280",476,Not Served by Yale Plants,4010,23616,41.327738,-73.103758,GILDER BOATHOUSE,21685,"4010 GILDER BOATHOUSE ROOSEVELT DRIVE, 280  GILDER BOATHOUSE GILDER 280 ROOSEVELT DRIVE ROOSEVELT DR, 280 GILDER BOATHOUSE",CT,OUTSOURCE,1
446,GOFFE63,"GOFFE STREET, 63-65",4996,Not Served by Yale Plants,1484,10416,41.31464,-72.93359,"GOFFE ST, 63-65",0,"1484 GOFFE ST, 63-65 GOFFE STREET, 63-65  GOFFE STREET, 63-65 GOFFE63 63-65 GOFFE STREET GOFFE ST, 63 ",CEN,ZONE 4,1
447,GOFFE69,"GOFFE STREET, 69-83",517,Not Served by Yale Plants,1485,4105,41.314746,-72.933686,"GOFFE ST, 69-83",0,"1485 GOFFE ST, 69-83 GOFFE STREET, 69-83  GOFFE STREET, 69-83 GOFFE69 69-83 GOFFE STREET GOFFE ST, 69 ",CEN,ZONE 4,1
448,GOFFE87,"GOFFE STREET, 87",4832,Not Served by Yale Plants,1486,2107,41.314975,-72.934066,"GOFFE ST, 87",1739,"1486 GOFFE ST, 87 GOFFE STREET, 87  GOFFE STREET, 87 GOFFE87 87 GOFFE STREET GOFFE ST, 87 ",CEN,ZONE 4,1
449,GOFFE89,"GOFFE STREET, 89 CLOSED",4833,Not Served by Yale Plants,1487,4735,41.315091,-72.934165,"GOFFE ST, 89 RAZED",0,"1487 GOFFE ST, 89 RAZED GOFFE STREET, 89 CLOSED   GOFFE89 RAZED   ",CEN,ZONE 4,1
450,GCOURSE,"CONRAD DRIVE, 200",450,Not Served by Yale Plants,3800,0,41.318497,-72.985152,GOLF  COURSE - YALE,0,"3800 GOLF  COURSE - YALE CONRAD DRIVE, 200  GOLF COURSE YALE GCOURSE 200 CONRAD DRIVE CONRAD DR, 200 GOLF COURSE YALE",ATH,ZONE 5,1
451,GCCLUB,"CONRAD DRIVE, 200",451,Not Served by Yale Plants,3805,9402,41.315971,-72.987562,GOLF  COURSE CLUB HSE,8446,"3805 GOLF  COURSE CLUB HSE CONRAD DRIVE, 200 PROSPECT HILL CLUB HOUSE GOLF COURSE CLUB HOUSE GCCLUB 200 CONRAD DRIVE CONRAD DR, 200 GOLF COURSE CLUB HOUSE",ATH,ZONE 5,1
452,GCCARTS,"CONRAD DRIVE, 200",454,Not Served by Yale Plants,3810,3141,41.318103,-72.985199,GOLF C CART STOR BLDG,2881,"3810 GOLF C CART STOR BLDG CONRAD DRIVE, 200  GOLF COURSE CART STORAGE BUILDING GCCARTS 200 CONRAD DRIVE CONRAD DR, 200 GOLF COURSE CART STORAGE",ATH,ZONE 5,1
453,GML,"PROSPECT STREET, 370",48,Not Served by Yale Plants,525,24241,41.321936,-72.924477,GREELEY MEM. LAB,22748,"0525 GREELEY MEM. LAB PROSPECT STREET, 370  GREELEY  MEMORIAL LABORATORY, WILLIAM B. GML 370 PROSPECT STREET PROSPECT ST, 370 GREELEY MEMORIAL LAB - GREELEYLAB",CEN,ZONE 1,1
454,GH-GOVT,"MANSFIELD STREET, 229",54,Not Served by Yale Plants,550,635,41.322487,-72.925293,"GREENHOUSE, GOVT.",563,"0550 GREENHOUSE, GOVT. MANSFIELD STREET, 229  GOVERNMENT GREENHOUSE GH-GOVT 229 MANSFIELD STREET MANSFIELD ST, 229 GOVERNMENT GREENHOUSE GOVT",CEN,ZONE 2,1
455,GSPG,"GROVE STREET,  57",242,Not Served by Yale Plants,1750,0,41.310436,-72.921686,GROVE ST PARK GARAGE,0,"1750 GROVE ST PARK GARAGE GROVE STREET,  57  GROVE STREET PARKING GARAGE GSPG 57 GROVE STREET GROVE ST, 57 LOT GS  (GROVE STREET GARAGE)",CEN,LEASED,1
456,GBFS,"OLD QUARRY ROAD, 276",4819,Not Served by Yale Plants,3910,9272,41.260472,-72.730199,GUILFORD BIO FLD STA,8001,"3910 GUILFORD BIO FLD STA OLD QUARRY ROAD, 276  GUILFORD BIOLOGICAL FIELD STATION GBFS 276 OLD QUARRY ROAD OLD QUARRY RD, 276 ",CT,ZONE 5,1
457,HIW,"HAMILTON STREET, 105",459,Not Served by Yale Plants,3902,9423,41.306147,-72.911586,HAMILTON/IVES WAREHO,0,"3902 HAMILTON/IVES WAREHO HAMILTON STREET, 105  HAMILTON/IVES WAREHOUSE HIW 105 HAMILTON STREET HAMILTON ST, 105 HAMILTON/IVES WAREHOUSE TELECOMM",NH,LEASED,1
458,HLH24,"HILLHOUSE AVENUE, 24",212,Not Served by Yale Plants,1500,9957,41.313434,-72.924139,"HILLHOUSE AVE,24",7987,"1500 HILLHOUSE AVE,24 HILLHOUSE AVENUE, 24 JAMES DWIGHT DANA HOUSE HILLHOUSE AVENUE, 24 HLH24 24 HILLHOUSE AVENUE HILLHOUSE AVE, 24 ",CEN,ZONE 2,1
459,HOWD682,"HOWARD AVENUE, 682-686",4733,Not Served by Yale Plants,3540,5576,41.299558,-72.935445,"HOWARD AVE, 682-686",0,"3540 HOWARD AVE, 682-686 HOWARD AVENUE, 682-686  HOWARD AVE, 682-686 HOWD682 682-686 HOWARD AVE HOWARD AVE, 682 ",MED,LEASED,1
460,HSG,"HOWE STREET, 67-81",4863,Not Served by Yale Plants,2301,134265,41.309886,-72.934817,HOWE ST GARAGE,130807,"2301 HOWE ST GARAGE HOWE STREET, 67-81  HOWE STREET GARAGE HSG 67-81 HOWE STREET HOWE ST, 67 ",CEN,ZONE 4,1
461,HURL68,"HURLBUTT ROAD, 68",5088,Not Served by Yale Plants,4099,3348,0,0,"HURLBUTT RD, 68",0,"4099 HURLBUTT RD, 68 HURLBUTT ROAD, 68  HURLBUTT ROAD, 68 HURL68 68 HURLBUTT ROAD HURLBUTT RD, 68 ",CT,ZONE 5,1
462,FIELDA,"YALE AVENUE, 45",435,Not Served by Yale Plants,3700,0,41.313298,-72.964805,INTRAMURAL PRACTICE A,0,"3700 INTRAMURAL PRACTICE A YALE AVENUE, 45  INTRAMURAL PRACTICE FIELD A FIELDA 45 YALE AVENUE YALE AVE, 45 INTRAMURAL PRACTICE FIELD A",ATH,ZONE 5,1
463,IVYMANA,"HIGHLAND STREET, 164-182",22,Not Served by Yale Plants,100,91920,41.328052,-72.921381,IVY MANOR APTS 164-182,0,"0100 IVY MANOR APTS 164-182 HIGHLAND STREET, 164-182  IVY MANOR APTS 164-182 IVYMANA 164-182 HIGHLAND STREET HIGHLAND ST, 164 IVY MANOR APTS",CEN,LEASED,1
464,KHWYN125,"KINGS HIGHWAY NORTH, 125",5038,Not Served by Yale Plants,4118,2000,0,0,"KINGS HIGHWAY NORTH,125",0,"4118 KINGS HIGHWAY NORTH,125 KINGS HIGHWAY NORTH, 125  125 KINGS HIGHWAY NORTH KHWYN125 125 KINGS HIGHWAY NORTH KINGS HWY N, 125 ",CT,LEASED,1
465,LAPHAM,"DERBY AVENUE, 251",426,Not Served by Yale Plants,3620,49315,41.31051,-72.960608,LAPHAM FIELD HOUSE,37775,"3620 LAPHAM FIELD HOUSE DERBY AVENUE, 251 FIELD HOUSE BUILDING ONLY LAPHAM FIELD HOUSE LAPHAM 251 DERBY AVENUE DERBY AVE, 251 SMILOW FIELD CENTER, JOEL E.",ATH,ZONE 5,1
466,LDHL105,"LEEDER HILL DRIVE, 105",4841,Not Served by Yale Plants,4018,5120,0,0,"LEEDER HILL DR, 105",0,"4018 LEEDER HILL DR, 105 LEEDER HILL DRIVE, 105  LEEDER HILL DRIVE, 105 LDHL105 105 LEEDER HILL DRIVE LEEDER HILL DR, 105 ",CT,LEASED,1
467,LFOP,"PROSPECT STREET, 355",35,Not Served by Yale Plants,430,5214,41.321142,-72.921943,LEITNER OBSV & PLANET.,4508,"0430 LEITNER OBSV & PLANET. PROSPECT STREET, 355 CIA CARPENTRY SHOP, UNDERGRAD OBSERVATORY LEITNER FAMILY OBSERVATORY & PLANETARIUN LFOP 355 PROSPECT STREET PROSPECT ST, 355 CARPENTRY SHOP - CIA",CEN,ZONE 2,1
468,LSF,"LEEDER HILL DRIVE, 147",471,Not Served by Yale Plants,4005,118785,41.345382,-72.921647,LIBRARY SHELVING FAC,111527,"4005 LIBRARY SHELVING FAC LEEDER HILL DRIVE, 147  LIBRARY SHELVING FACILITY LSF 147 LEEDER HILL DRIVE LEEDER HILL DR, 147 LIBRARY SHELVING FACILITY - OFF CAMPUS - OCC",CT,OUTSOURCE,1
469,LOT 80T,"CROWN STREET, 333",4912,Not Served by Yale Plants,2783,0,41.307526,-72.932817,LOT  80T - 333 CROWN,0,"2783 LOT  80T - 333 CROWN CROWN STREET, 333  LOT 80T - 333 CROWN STREET LOT  80T 333 CROWN STREET CROWN ST, 333 ",CEN,ZONE 4,1
470,MAIN2524,"MAIN STREET, 2524 CLOSED",5029,Not Served by Yale Plants,4115,2445,0,0,"MAIN ST, 2524 NO LONGER LEASING",0,"4115 MAIN ST, 2524 NO LONGER LEASING MAIN STREET, 2524 CLOSED   MAIN2524 CLOSED   ",CT,LEASED,1
471,MANSAPTA,"MANSFIELD STREET, 291 & 295",4827,Not Served by Yale Plants,504,8117,41.32312,-72.924998,MANSFIELD APTS 291&295,6761,"0504 MANSFIELD APTS 291&295 MANSFIELD STREET, 291 & 295  MANSFIELD ST APTS 291 & 295 MANSAPTA 291 & 295 MANSFIELD STREET MANSFIELD ST, 291 ",CEN,ZONE 2,1
472,MANSAPTB,"MANSFIELD STREET, 293 & 297",45,Not Served by Yale Plants,505,11300,41.323006,-72.924769,MANSFIELD APTS 293&297,9505,"0505 MANSFIELD APTS 293&297 MANSFIELD STREET, 293 & 297  MANSFIELD ST APTS 293 & 297 MANSAPTB 293 & 297 MANSFIELD STREET MANSFIELD ST, 293 MANSFIELD STREET APTS - 293 MANS",CEN,ZONE 2,1
473,MANSAPTC,"MANSFIELD STREET, 299-301",4828,Not Served by Yale Plants,506,9749,41.323187,-72.924685,MANSFIELD APTS 299-301,8224,"0506 MANSFIELD APTS 299-301 MANSFIELD STREET, 299-301  MANSFIELD ST APTS 299-301 MANSAPTC 299-301 MANSFIELD STREET MANSFIELD ST, 299 ",CEN,ZONE 2,1
474,MANSAPTD,"MANSFIELD STREET, 303-305",4801,Not Served by Yale Plants,507,9884,41.323381,-72.924542,MANSFIELD APTS 303-305,8315,"0507 MANSFIELD APTS 303-305 MANSFIELD STREET, 303-305  MANSFIELD APTS 303-305 MANSAPTD 303-305 MANSFIELD STREET MANSFIELD ST, 303 ",CEN,ZONE 2,1
475,MANSAPTE,"MANSFIELD STREET, 307-309",4802,Not Served by Yale Plants,509,12084,41.323346,-72.925078,MANSFIELD APTS 307-309,10015,"0509 MANSFIELD APTS 307-309 MANSFIELD STREET, 307-309  MANSFIELD APTS 307-309 MANSAPTE 307-309 MANSFIELD STREET MANSFIELD ST, 307 ",CEN,ZONE 2,1
476,MANS042,"MANSFIELD STREET,  42",59,Not Served by Yale Plants,705,4734,41.316315,-72.925993,"MANSFIELD ST,  42",0,"0705 MANSFIELD ST,  42 MANSFIELD STREET,  42  MANSFIELD STREET, 42 MANS042 42 MANSFIELD STREET MANSFIELD ST,  42 ",CEN,LEASED,1
477,MANS068,"MANSFIELD STREET,  68",58,Not Served by Yale Plants,700,8128,41.31688,-72.926062,"MANSFIELD ST,  68",6656,"0700 MANSFIELD ST,  68 MANSFIELD STREET,  68  MANSFIELD STREET, 68 MANS068 68 MANSFIELD STREET MANSFIELD ST,  68 ",CEN,ZONE 2,1
478,MANS227,"MANSFIELD STREET, 227",51,Not Served by Yale Plants,540,2423,41.321489,-72.925665,"MANSFIELD ST, 227",1965,"0540 MANSFIELD ST, 227 MANSFIELD STREET, 227  MANSFIELD STREET, 227 MANS227 227 MANSFIELD STREET MANSFIELD ST, 227 BEE LAB",CEN,ZONE 2,1
